,brand,model,accel_sec,top_speed_kmh,range_km,battery_pack_kwh,efficiency_whkm,fast_charge_kmh,rapid_charge,power_train,plug_type,body_style,price_euro
0,Tesla,Model 3 Long Range Dual Motor,4.6,233,460,70.0,161,940,Yes,AWD,Type 2 CCS,Sedan,55480
1,Volkswagen,ID.3 Pure,10.0,160,270,45.0,167,250,Yes,RWD,Type 2 CCS,Hatchback,30000
2,Polestar,2,4.7,210,400,75.0,181,620,Yes,AWD,Type 2 CCS,Liftback,56440
3,BMW,iX3,6.8,180,360,74.0,206,560,Yes,RWD,Type 2 CCS,SUV,68040
4,Honda,e,9.5,145,170,28.5,168,190,Yes,RWD,Type 2 CCS,Hatchback,32997
5,Lucid,Air,2.8,250,610,110.0,180,620,Yes,AWD,Type 2 CCS,Sedan,105000
6,Volkswagen,e-Golf,9.6,150,190,35.8,168,220,Yes,FWD,Type 2 CCS,Hatchback,31900
7,Peugeot,e-208,8.1,150,275,45.0,164,420,Yes,FWD,Type 2 CCS,Hatchback,29682
8,Tesla,Model 3 Standard Range Plus,5.6,225,310,50.0,153,650,Yes,RWD,Type 2 CCS,Sedan,46380
9,Audi,Q4 e-tron,6.3,180,400,77.0,193,540,Yes,AWD,Type 2 CCS,SUV,55000
10,Mercedes,EQC 400 4MATIC,5.1,180,370,80.0,216,440,Yes,AWD,Type 2 CCS,SUV,69484
11,Nissan,Leaf,7.9,144,220,36.0,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,29234
12,Hyundai,Kona Electric 64 kWh,7.9,167,400,64.0,160,380,Yes,FWD,Type 2 CCS,SUV,40795
13,BMW,i4,4.0,200,450,80.0,178,650,Yes,RWD,Type 2 CCS,Sedan,65000
14,Hyundai,IONIQ Electric,9.7,165,250,38.3,153,210,Yes,FWD,Type 2 CCS,Liftback,34459
15,Volkswagen,ID.3 Pro S,7.9,160,440,77.0,175,590,Yes,RWD,Type 2 CCS,Hatchback,40936
16,Porsche,Taycan Turbo S,2.8,260,375,83.7,223,780,Yes,AWD,Type 2 CCS,Sedan,180781
17,Volkswagen,e-Up!,11.9,130,195,36.8,166,170,Yes,FWD,Type 2 CCS,Hatchback,21421
18,MG,ZS EV,8.2,140,220,42.5,193,260,Yes,FWD,Type 2 CCS,SUV,30000
19,Mini,Cooper SE,7.3,150,185,28.9,156,260,Yes,FWD,Type 2 CCS,Hatchback,31681
20,Opel,Corsa-e,8.1,150,275,45.0,164,420,Yes,FWD,Type 2 CCS,Hatchback,29146
21,Tesla,Model Y Long Range Dual Motor,5.1,217,425,72.5,171,930,Yes,AWD,Type 2 CCS,SUV,58620
22,Skoda,Enyaq iV 50,10.0,160,290,52.0,179,230,Yes,RWD,Type 2 CCS,SUV,35000
23,Audi,e-tron GT,3.5,240,425,85.0,197,850,Yes,AWD,Type 2 CCS,Sedan,125000
24,Tesla,Model 3 Long Range Performance,3.4,261,435,70.0,167,910,Yes,AWD,Type 2 CCS,Sedan,61480
25,Volkswagen,ID.4,7.5,160,420,77.0,183,560,Yes,RWD,Type 2 CCS,SUV,45000
26,Volkswagen,ID.3 Pro,9.0,160,350,58.0,166,490,Yes,RWD,Type 2 CCS,Hatchback,33000
27,Volvo,XC40 P8 AWD Recharge,4.9,180,375,75.0,200,470,Yes,AWD,Type 2 CCS,SUV,60437
